name,위도,경도,전기차등록수,X500m충전소,X500m생활근린시설,주민등록세대,면수
작은성말(정기차량전용),37.44551953,126.7053305,0.622596865,0.033514493,0.193500739,0.716388354,7
작은성말2길,37.4479219,126.7066679,0.622596865,0.040104167,0.203840473,0.716388354,41
장도로,37.39900219,126.7379876,0.622596865,0.004227053,0.022156573,0.393887898,64
장미,37.4569369,126.716188,0.622596865,0.045717593,0.066469719,0.716388354,10
장수1호,37.4518519,126.7512545,0.622596865,0.101851852,0.019202363,0.104082693,26
장수2호,37.4509241,126.7538468,0.622596865,0.101851852,0.017725258,0.104082693,26
장수3호,37.4497436,126.755539,0.622596865,0.494791667,0.016248154,0.104082693,11
장승백이1호(정기차량전용),37.44762374,126.7366103,0.622596865,0.042763158,0.094534712,0.743606309,17
장승백이2호(정기차량전용),37.44584145,126.7410025,0.622596865,0.042763158,0.056129985,0.743606309,16
장승백이3호(정기차량전용),37.44600864,126.7415764,0.622596865,0.042763158,0.056129985,0.743606309,20
주원,37.46554856,126.7011308,0.622596865,0.157986111,0.196454948,0.642318442,6
진솔,37.4485259,126.6952091,0.622596865,0.326388889,0.17577548,0.716388354,60
진주1호,37.4575604,126.7263612,0.622596865,0.2421875,0.277695716,0.743606309,27
진주2호,37.458963,126.7260775,0.622596865,0.090625,0.243722304,0.743606309,10
진주3호,37.4558632,126.7302441,0.622596865,0.157986111,0.276218612,0.743606309,12
진주4호,37.4582301,126.725796,0.622596865,0.133928571,0.261447563,0.743606309,43
창대시장,37.44794264,126.7359247,0.622596865,0.042763158,0.101920236,0.743606309,21
포구로,37.4003457,126.7391204,0.622596865,0.045717593,0.025110783,0.393887898,26
하모니,37.40192748,126.7069153,0.622596865,0.021158854,0.004431315,0.393887898,69
하촌로,37.45237284,126.7333034,0.622596865,0.133928571,0.212703102,0.743606309,174
하촌로5,37.4546031,126.7253489,0.622596865,1,0.302806499,0.743606309,28
학생안전체험관,37.45186067,126.7158791,0.622596865,0.040104167,0.215657312,0.716388354,142
향촌,37.46112738,126.7312856,0.622596865,0.037698413,0.197932053,0.743606309,83
(구)화평동사무소앞,37.478769,126.630041,0.020112393,0.049019608,0.355982275,0.032091344,22
구민운동장,37.476948,126.671114,0.020112393,0.326388889,0.035450517,0.141019339,35
금창동사무소 옆,37.472415,126.639991,0.020112393,0.115885417,0.332348597,0.012752272,12
대우중공업 옆,37.485762,126.623168,0.020112393,0.033514493,0.029542097,0.037372021,9
대우중공업옆(2),37.484579,126.626802,0.020112393,0.023263889,0.091580502,0.037372021,13
대우중공업주변,37.485555,126.628559,0.020112393,0.035511364,0.085672083,0.032091344,10
동화세르빌 옆,37.481329,126.632062,0.020112393,0.056944444,0.209748892,0.032091344,6
만석1차A 뒷골목,37.481818,126.620662,0.020112393,0.025669643,0.088626292,0.037372021,7
만석부두 공영,37.491246,126.621762,0.020112393,1,0.007385524,0.037372021,57
만석우체국 뒤,37.482476,126.620261,0.020112393,0.025669643,0.085672083,0.037372021,4
민방위교육장 앞,37.471046,126.638444,0.020112393,0.157986111,0.403249631,0.012752272,18
삼두아파트 옆,37.480331,126.633403,0.020112393,0.090625,0.209748892,0.081218488,14
서흥초교앞,37.479136,126.645466,0.020112393,0.073784722,0.274741507,0.141019339,48
송강빌라 주변,37.480697,126.631599,0.020112393,0.061755952,0.211225997,0.032091344,5
송림2동 복음병원위,37.475321,126.642018,0.020112393,0.101851852,0.295420975,0.141019339,21
송림4동 sk주택 앞,37.478538,126.653063,0.020112393,0.049019608,0.134416544,0.141019339,12
송현근린공원/배수지,37.476886,126.638608,0.020112393,0.115885417,0.208271787,0.081218488,27
송현시장 부근,37.476041,126.634894,0.020112393,0.157986111,0.514032496,0.081218488,16
송현주공A 앞,37.480823,126.644813,0.020112393,0.2421875,0.119645495,0.141019339,112
송현터널 앞,37.474475,126.638902,0.020112393,0.067307692,0.29394387,0.141019339,69
어린이교통공원,37.477785,126.669193,0.020112393,0.115885417,0.036927622,0.141019339,34
중앙시장,37.473842,126.635601,0.020112393,0.326388889,0.556868538,0.012752272,57
찌개마을 앞,37.4864387,126.622291,0.020112393,0.037698413,0.026587888,0.037372021,5
한라빌라 옆,37.481477,126.624235,0.020112393,0.016173246,0.107828656,0.037372021,18
현대시장 공영,37.477154,126.647347,0.020112393,0.067307692,0.311669129,0.141019339,91
화도진근린공원,37.481085,126.628669,0.020112393,0.040104167,0.203840473,0.032091344,21
화도진중학교 앞,37.484526,126.630841,0.020112393,0.081439394,0.094534712,0.032091344,24
화수1.화평동 민원주차장,37.481231,126.630176,0.020112393,0.042763158,0.214180207,0.032091344,16
화수1.화평동사무소아래,37.481927,126.630446,0.020112393,0.042763158,0.199409158,0.032091344,12
화수2동사무소 아래,37.484921,126.629814,0.020112393,0.067307692,0.091580502,0.032091344,13
화수부두 공영,37.487861,126.631031,0.020112393,0.067307692,0.038404727,0.032091344,25
화수시장 부근,37.480572,126.627745,0.020112393,0.040104167,0.194977843,0.032091344,14
화평어린이집 옆,37.479749,126.632245,0.020112393,0.067307692,0.234859675,0.032091344,17
관교동제1노외주차장,37.44731614,126.6929198,0.280981958,0.133928571,0.149187592,0.080600536,11
관교동제2노외주차장,37.44230178,126.6938715,0.280981958,0.090625,0.039881832,0.080600536,64
관교동제3노외주차장,37.4441498,126.6931142,0.280981958,0.081439394,0.073855244,0.080600536,89
도화1동제1노상주차장,37.46093435,126.6761629,0.280981958,0.049019608,0.295420975,0.356038369,46
도화1동제1노외주차장,37.46184683,126.6686083,0.280981958,0.191666667,0.093057607,0.356038369,16
도화1동제2노상주차장,37.465027,126.6635834,0.280981958,0.090625,0.132939439,0.356038369,11
도화1동제2노외주차장,37.4638418,126.6677087,0.280981958,0.191666667,0.11521418,0.356038369,7
도화1동제3노상주차장,37.459275,126.673897,0.280981958,0.090625,0.217134417,0.356038369,18
도화1동제4노외주차장,37.4640654,126.6672324,0.280981958,0.191666667,0.122599705,0.356038369,89
"도화2,3동제4노외주차장",37.4669112,126.6616847,0.280981958,0.037698413,0.159527326,0.356038369,27
문학동제1노외주차장,37.4404539,126.679025,0.280981958,0.067307692,0.047267356,0.09981321,16
문학동제3노외주차장,37.436622,126.685306,0.280981958,0.191666667,0.0605613,0.09981321,28
문학동제4노외주차장,37.43800799,126.6864644,0.280981958,0.191666667,0.05760709,0.09981321,25
문학동제5노외주차장,37.4375457,126.6784874,0.280981958,0.115885417,0.044313146,0.09981321,19
미추홀구청사부설주차장,37.4634703,126.6500003,0.280981958,0.028445513,0.180206795,0.296097075,192
"숭의1,3동제1노외주차장",37.46393881,126.6455675,0.280981958,0.049019608,0.261447563,0.296097075,3
"숭의1,3동제2노상주차장",37.46475684,126.6419282,0.280981958,0.067307692,0.335302806,0.296097075,26
"숭의1,3동제2노외주차장",37.46901756,126.6470082,0.280981958,0.031684028,0.184638109,0.296097075,8
"숭의1,3동제4노외주차장",37.4654137,126.6479161,0.280981958,0.022177419,0.225997046,0.296097075,43
"숭의1,3동제6노상주차장",37.46142053,126.639916,0.280981958,0.067307692,0.231905465,0.296097075,80
숭의2동 제1노상주차장,37.46284869,126.6450117,0.280981958,0.049019608,0.282127031,0.296097075,29
숭의2동제2노외주차장,37.46300803,126.6464591,0.280981958,0.045717593,0.271787297,0.296097075,13
숭의2동제3노외주차장,37.4644173,126.6496023,0.280981958,0.031684028,0.174298375,0.296097075,10
숭의2동제4노외주차장,37.4620301,126.6449828,0.280981958,0.049019608,0.257016248,0.296097075,21
숭의2동제7노외주차장,37.46265113,126.6488512,0.280981958,0.037698413,0.224519941,0.296097075,267
